propertyCode,price,propertyType,operation,rooms,bathrooms,size,address,province,municipality,district,neighborhood,latitude,longitude,distance,exterior,floor,parkingSpace,priceByArea,detailedType
108654288,1790.0,flat,rent,3,2,135.0,Cardenal Bueno Monreal,Sevilla,Sevilla,Prado de San Sebastián - Felipe II - Bueno Monreal,Felipe II - Bueno Monreal,37.3667927,-5.9820161,2294,True,4,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",13.0,{'typology': 'flat'}
108842254,1100.0,flat,rent,3,1,75.0,calle Naranco,Sevilla,Sevilla,Nervión,El Juncal - El Plantinar,37.3751914,-5.9744315,3142,True,3,,15.0,{'typology': 'flat'}
108841982,1050.0,flat,rent,3,1,75.0,calle Tarfia,Sevilla,Sevilla,La Palmera - Los Bermejales,Reina Mercedes - Heliópolis,37.3603077,-5.9879406,1868,True,4,,14.0,{'typology': 'flat'}
108841915,850.0,flat,rent,3,1,64.0,"avenida Doctor Fedriani, 9",Sevilla,Sevilla,Macarena,Doctor Fedriani,37.4076297,-5.9857112,5055,True,2,,13.0,{'typology': 'flat'}
108841796,750.0,flat,rent,2,1,59.0,calle Segre,Sevilla,Sevilla,Nervión,El Juncal - El Plantinar,37.3712369,-5.9672079,3651,True,4,,13.0,{'typology': 'flat'}
108841383,900.0,flat,rent,3,1,59.0,calle Tambre,Sevilla,Sevilla,Nervión,El Juncal - El Plantinar,37.3748312,-5.9675322,3711,True,1,,15.0,{'typology': 'flat'}
105167885,890.0,flat,rent,1,1,55.0,Barrio Santa Cruz - Alfalfa,Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3874568,-5.9916032,2814,False,bj,,16.0,{'typology': 'flat'}
104919794,1500.0,duplex,rent,3,2,100.0,Barrio El Porvenir,Sevilla,Sevilla,Prado de San Sebastián - Felipe II - Bueno Monreal,El Porvenir,37.3742262,-5.9823224,2453,True,2,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",15.0,"{'typology': 'flat', 'subTypology': 'duplex'}"
104893019,2500.0,flat,rent,4,4,158.0,Barrio Blas Infante,Sevilla,Sevilla,Los Remedios,Blas Infante,37.375591,-6.0092394,1102,True,12,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",16.0,{'typology': 'flat'}
98329917,1000.0,flat,rent,1,1,50.0,Barrio Nervión,Sevilla,Sevilla,Nervión,Nervión,37.3807052,-5.9716901,3610,True,1,,20.0,{'typology': 'flat'}
108763174,1800.0,flat,rent,5,2,140.0,Barrio Su Eminencia - La Oliva,Sevilla,Sevilla,Cerro Amate,Su Eminencia - La Oliva,37.3631107,-5.9747743,2946,True,1,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",13.0,{'typology': 'flat'}
108840932,800.0,flat,rent,1,1,53.0,Barrio Puerta Carmona-Puerta Osario-Amador de los Ríos,Sevilla,Sevilla,Centro,Puerta Carmona-Puerta Osario-Amador de los Ríos,37.3938106,-5.9852497,3710,True,bj,,15.0,{'typology': 'flat'}
108840856,850.0,flat,rent,2,1,448.0,calle Jose Saramago,Sevilla,Sevilla,Prado de San Sebastián - Felipe II - Bueno Monreal,Tiro de Línea,37.3738644,-5.9736722,3160,True,1,,2.0,{'typology': 'flat'}
96004291,950.0,flat,rent,1,1,65.0,Barrio Su Eminencia - La Oliva,Sevilla,Sevilla,Cerro Amate,Su Eminencia - La Oliva,37.3647657,-5.9750175,2912,True,1,,15.0,{'typology': 'flat'}
