propertyCode,price,propertyType,operation,rooms,bathrooms,size,address,province,municipality,district,neighborhood,latitude,longitude,distance,exterior,floor,parkingSpace,priceByArea,detailedType
108599798,1200000.0,flat,sale,5,3,283.0,calle Julio César,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3886369,-6.0016905,2605,True,5,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4240.0,{'typology': 'flat'}
107831031,319000.0,flat,sale,3,1,99.0,Barrio Feria,Sevilla,Sevilla,Centro,Feria,37.4007299,-5.9898002,4208,True,1,,3222.0,{'typology': 'flat'}
108213439,425000.0,flat,sale,3,2,130.0,Barrio Nervión,Sevilla,Sevilla,Nervión,Nervión,37.3765327,-5.9682606,3706,True,2,,3269.0,{'typology': 'flat'}
107489206,440000.0,flat,sale,3,2,93.0,calle San Benito,Sevilla,Sevilla,Nervión,Luis Montoto - Santa Justa,37.3896924,-5.9811847,3562,True,3,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4731.0,{'typology': 'flat'}
108590128,595000.0,flat,sale,3,2,205.0,Barrio Santa Cruz - Alfalfa,Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3888925,-5.9928929,2898,True,bj,,2902.0,{'typology': 'flat'}
104730717,1200000.0,chalet,sale,6,2,415.0,calle Hombre de Piedra,Sevilla,Sevilla,Centro,Plaza de la Gavidia-San Lorenzo,37.4002973,-5.995046,4008,,,,2892.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}"
104416800,3400000.0,chalet,sale,10,8,886.0,Barrio Santa Cruz - Alfalfa,Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3873315,-5.9873646,3012,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3837.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}"
108141646,800000.0,penthouse,sale,2,3,185.0,Barrio Arenal - Museo - Tetuán,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3904563,-5.9986159,2869,True,2,,4324.0,"{'typology': 'flat', 'subTypology': 'penthouse'}"
107985390,400000.0,flat,sale,3,2,101.0,calle Beatriz de Suabia,Sevilla,Sevilla,Nervión,Nervión,37.3783387,-5.9685682,3751,True,6,,3960.0,{'typology': 'flat'}
108242609,300000.0,flat,sale,3,1,91.0,Barrio San Vicente,Sevilla,Sevilla,Centro,San Vicente,37.4010711,-5.9983718,4019,True,bj,,3297.0,{'typology': 'flat'}
106751888,230000.0,flat,sale,1,1,65.0,"calle Federico García Lorca, 3",Sevilla,Sevilla,Nervión,Nervión,37.3774524,-5.9704308,3561,True,,,3538.0,{'typology': 'flat'}
107857540,539000.0,penthouse,sale,3,3,138.0,calle San Blas,Sevilla,Sevilla,Centro,Feria,37.3957125,-5.9892766,3719,True,1,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3906.0,"{'typology': 'flat', 'subTypology': 'penthouse'}"
108587616,750000.0,flat,sale,5,3,172.0,calle Federico Rubio,Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3872307,-5.9902938,2854,True,3,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 60000.0}",4360.0,{'typology': 'flat'}
108223107,635000.0,penthouse,sale,2,2,109.0,avenida de la Buhaira,Sevilla,Sevilla,Nervión,Buhaira - Huerta del Rey,37.3840956,-5.9803969,3177,True,7,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5826.0,"{'typology': 'flat', 'subTypology': 'penthouse'}"
107592428,838000.0,flat,sale,3,2,142.0,avenida de la Buhaira,Sevilla,Sevilla,Nervión,Buhaira - Huerta del Rey,37.3845849,-5.9804409,3209,True,3,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5901.0,{'typology': 'flat'}
108183688,680000.0,flat,sale,3,2,163.0,calle de Castelar,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3871368,-5.9968462,2574,True,1,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4172.0,{'typology': 'flat'}
107996437,420000.0,penthouse,sale,2,1,78.0,calle Hombre de Piedra,Sevilla,Sevilla,Centro,Plaza de la Gavidia-San Lorenzo,37.3983771,-5.9944979,3819,True,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 30000.0}",5385.0,"{'typology': 'flat', 'subTypology': 'penthouse'}"
108361447,1030000.0,flat,sale,3,3,133.0,Barrio Arenal - Museo - Tetuán,Sevilla,Sevilla,Centro,Arenal - Museo - Tetuán,37.3869989,-5.9959101,2592,True,4,,7744.0,{'typology': 'flat'}
