id,titulo,localización,precio,vivienda,superficie_m2,habitaciones,baños,terraza,estado,armarios_empotrados,orientacion,año_construccion,calefaccion,aire_acondicionado,direccion,distrito,municipio,zona
108649983,"Alquiler de piso en calle de Juanelo, 23",Lavapiés-Embajadores,1300,piso,47,0,1,False,Segunda mano/buen estado,True,Sur,,,True,"Calle de Juanelo, 23",Distrito Centro,"Madrid capital, Madrid",
100086672,Alquiler de piso en Vicente Ferrer,Malasaña-Universidad,1350,piso,60,0,1,False,Segunda mano/buen estado,True,Este,,Calefacción individual,True,,Distrito Centro,"Madrid capital, Madrid",
105407203,"Alquiler de piso en calle de las Aguas, 8",Palacio,2000,piso,98,3,1,False,Segunda mano/buen estado,False,,,,True,"Calle de las Aguas, 8",Distrito Centro,"Madrid capital, Madrid",
99564765,Alquiler de piso en travesía de Trujillos,Sol,1580,piso,50,0,1,False,Segunda mano/buen estado,True,Sur,,Eléctrica,True,,Distrito Centro,"Madrid capital, Madrid",
108651419,"Alquiler de piso en calle de Lavapiés, 40",Lavapiés-Embajadores,1850,piso,85,3,1,False,Segunda mano/buen estado,True,,,,False,"Calle de Lavapiés, 40",Distrito Centro,"Madrid capital, Madrid",
92863859,Alquiler de piso en calle Jesus Del Valle,Malasaña-Universidad,1650,piso,75,2,2,False,Segunda mano/buen estado,True,Sur,,Gas natural,False,Calle JESUS DEL VALLE,Distrito Centro,"Madrid capital, Madrid",
108640831,"Alquiler de estudio en Gran Vía, 78",Malasaña-Universidad,1164,estudio,45,0,1,False,Segunda mano/buen estado,False,Este,,,False,,Distrito Centro,"Madrid capital, Madrid",
102207245,Alquiler de estudio en calle de Hernán Cortés,Chueca-Justicia,1111,estudio,51,0,1,False,Segunda mano/buen estado,True,,,Calefacción individual,True,Calle de Hernán Cortés,Distrito Centro,"Madrid capital, Madrid",
108649900,"Alquiler de piso en calle del Amparo, 84",Lavapiés-Embajadores,2500,piso,79,4,2,False,Segunda mano/buen estado,True,Sur,,,False,"Calle del Amparo, 84",Distrito Centro,"Madrid capital, Madrid",
108265632,Alquiler de piso en calle de Buenavista,Lavapiés-Embajadores,1275,piso,40,2,1,False,Segunda mano/buen estado,True,,,Bomba de frío/calor,True,Calle de Buenavista,Distrito Centro,"Madrid capital, Madrid",
108642951,"Alquiler de estudio en calle del Carnero, 16",Lavapiés-Embajadores,1100,estudio,25,0,1,False,Segunda mano/buen estado,False,,,,True,"Calle del Carnero, 16",Distrito Centro,"Madrid capital, Madrid",
108295523,Alquiler de piso en calle del Príncipe,Huertas-Cortes,1500,piso,74,0,1,False,Segunda mano/buen estado,False,,,Calefacción individual,True,Calle del Príncipe,Distrito Centro,"Madrid capital, Madrid",
108651238,Alquiler de piso en calle de la Palma,Malasaña-Universidad,1150,piso,52,0,1,True,Segunda mano/buen estado,False,Norte,,,False,Calle de la Palma,Distrito Centro,"Madrid capital, Madrid",
102304050,Alquiler de piso en calle de Pelayo,Chueca-Justicia,2950,piso,110,2,2,False,Segunda mano/buen estado,True,Este,,Gas natural,True,Calle de Pelayo,Distrito Centro,"Madrid capital, Madrid",
108651201,Alquiler de piso en calle del Humilladero,Palacio,800,piso,39,0,1,False,Segunda mano/buen estado,True,,,Calefacción individual,False,Calle del Humilladero,Distrito Centro,"Madrid capital, Madrid",
108319123,"Alquiler de piso en calle del Limón, 32",Malasaña-Universidad,1700,piso,65,0,1,False,Segunda mano/buen estado,True,Sur,,Gas,True,"Calle del Limón, 32",Distrito Centro,"Madrid capital, Madrid",
106628956,Alquiler de piso en calle del Caballero de Gracia,Sol,2000,piso,50,2,2,False,Segunda mano/buen estado,True,Norte,1920.0,,True,Calle del Caballero de Gracia,Distrito Centro,"Madrid capital, Madrid",
101781534,Alquiler de piso en calle de las Tres Cruces,Sol,1700,piso,60,0,1,False,Segunda mano/buen estado,True,Sur,2020.0,,True,Calle de las Tres Cruces,Distrito Centro,"Madrid capital, Madrid",
108650801,"Alquiler de piso en plaza de Carlos Cambronero, 4",Malasaña-Universidad,1740,piso,96,2,1,False,Segunda mano/buen estado,True,,,Eléctrica,True,"Plaza de Carlos Cambronero, 4",Distrito Centro,"Madrid capital, Madrid",
106399240,Alquiler de piso en calle del Príncipe,Huertas-Cortes,1600,piso,41,0,1,False,Segunda mano/buen estado,True,Sur,,Eléctrica,True,Calle del Príncipe,Distrito Centro,"Madrid capital, Madrid",
108650799,Alquiler de piso en calle del Almendro,Palacio,850,piso,25,0,1,False,Segunda mano/buen estado,False,,,Gas natural,False,Calle del Almendro,Distrito Centro,"Madrid capital, Madrid",
108436999,Alquiler de piso en calle de San Marcos,Chueca-Justicia,2095,piso,65,2,1,False,Segunda mano/buen estado,True,,,,True,Calle de San Marcos,Distrito Centro,"Madrid capital, Madrid",
89610605,Alquiler de piso en calle Casto Plasencia,Malasaña-Universidad,1100,piso,37,0,1,False,Segunda mano/buen estado,False,Norte,1912.0,Eléctrica,False,Calle Casto Plasencia,Distrito Centro,"Madrid capital, Madrid",
101113524,Alquiler de ático en calle de Calatrava,Palacio,1850,ático,70,2,1,False,Segunda mano/buen estado,True,Este,1900.0,Eléctrica,True,Calle de Calatrava,Distrito Centro,"Madrid capital, Madrid",
108650705,Alquiler de piso en Malasaña-Universidad,Centro,1700,piso,57,2,1,False,Segunda mano/buen estado,False,Norte,,Eléctrica,False,,Distrito Centro,"Madrid capital, Madrid",
