id;Planta;Ascensor;EXT-INT
108701668;1;;Interior
108235202;1;;
108701668;1;;Interior
108235202;1;;
108634126;4;;
105015485;4;;Exterior
108634126;4;;
105015485;4;;Exterior
108093592;;;Exterior
108093343;;;Exterior
108093592;;;Exterior
108093343;;;Exterior
108616619;Bajo;;
108616619;Bajo;;
108696476;Bajo ;;Exterior
108696476;Bajo ;;Exterior
108651419;1; No;Exterior
102304050;1; No;Exterior
108650801;1; No;Exterior
98273538;1; No;Exterior
98574065;1; No;Interior
98929273;1; No;Exterior
95994006;1; No;Interior
108627045;1; No;Exterior
106927958;1; No;Exterior
108101574;1; No;Interior
108620100;1; No;Interior
108618818;1; No;Interior
107038424;1; No;Exterior
108388674;1; No;Exterior
38968910;1; No;Exterior
104498649;1; No;Exterior
108588507;1; No;Interior
108439185;1; No;Interior
108605366;1; No;Interior
97784611;1; No;Interior
106168907;1; No;Exterior
108093564;1; No;Exterior
108283185;1; No;Exterior
108600004;1; No;Interior
106461982;1; No;Exterior
99867898;1; No;Interior
108617748;1; No;Exterior
108567988;1; No;Exterior
107076776;1; No;Exterior
34453401;1; No;Exterior
101642501;1; No;Interior
108111639;1; No;Exterior
108215064;1; No;Exterior
108504323;1; No;Interior
108491831;1; No;Exterior
108281006;1; No;Exterior
104579474;1; No;Interior
101664213;1; No;Exterior
108505800;1; No;Interior
108586793;1; No;Interior
108054390;1; No;Interior
107635151;1; No;Interior
108330957;1; No;Exterior
108546243;1; No;Exterior
107908670;1; No;Exterior
96118297;1; No;Interior
36774154;1; No;Interior
108163423;1; No;Exterior
81738540;1; No;Interior
95639614;1; No;Interior
30143507;1; No;Exterior
89510553;1; No;Exterior
105623326;1; No;Interior
106648096;1; No;Exterior
2087877;1; No;Exterior
108493351;1; No;Exterior
108551861;1; No;Exterior
2163257;1; No;Exterior
108643994;1; No;Exterior
27894850;1; No;Exterior
108641797;1; No;Exterior
108290549;1; No;Exterior
102865527;1; No;Exterior
88652001;1; No;Exterior
107097773;1; No;Exterior
108494176;1; No;Exterior
98447070;1; No;Exterior
105969359;1; No;Exterior
105831748;1; No;Exterior
108629448;1; No;Exterior
105333957;1; No;Exterior
34966947;1; No;Interior
108532538;1; No;Exterior
95504590;1; No;Exterior
95818173;1; No;Interior
108559149;1; No;Interior
107601551;1; No;Interior
98516888;1; No;Interior
105407859;1; No;Exterior
107245533;1; No;Exterior
106859921;1; No;Exterior
105711018;1; No;Interior
108704608;1; No;Exterior
108683285;1; No;Interior
98297977;1; No;Exterior
108145831;1; No;Exterior
108151384;1; No;Exterior
94434467;1; No;Exterior
106898492;1; No;Exterior
105874885;1; No;Exterior
108669347;1; No;Interior
108595035;1; No;Exterior
103291255;1; No;Exterior
100570088;1; No;Exterior
107707352;1; No;Interior
108449998;1; No;Exterior
108643557;1; No;Exterior
108628648;1; No;Interior
105929979;1; No;Interior
103450622;1; No;Exterior
108596640;1; No;Exterior
102378889;1; No;Exterior
108669581;1; No;Exterior
108364421;1; No;Exterior
108398696;1; No;Interior
108565449;1; No;Interior
106942238;1; No;Exterior
102883372;1; No;Exterior
108384517;1; No;Exterior
107020887;1; No;Interior
108312800;1; No;Interior
