id,titulo,localización,precio,Planta,Ascensor,EXT-INT,superficie_m2,habitaciones,baños,terraza,estado,armarios_empotrados,orientacion,año_construccion,calefaccion,aire_acondicionado,direccion,distrito,municipio,zona
107264664,Piso en venta en calle Mayor,Sol,1690000,,,,145.0,2.0,2.0,True,Segunda mano/buen estado,True,Norte,1900.0,Gas natural,True,Calle Mayor,Distrito Centro,"Madrid capital, Madrid",
108324155,Ático en venta en calle de las Aguas,Palacio,895000,4, Si,Exterior,106.0,2.0,,True,Segunda mano/buen estado,True,,1940.0,Gas natural,True,Calle de las Aguas,Distrito Centro,"Madrid capital, Madrid",
105521069,Piso en venta en calle de Noblejas,Palacio,1495000,2, Si,Exterior,164.0,3.0,3.0,False,Segunda mano/buen estado,False,Norte,1989.0,,True,Calle de Noblejas,Distrito Centro,"Madrid capital, Madrid",
106506235,Piso en venta en plaza de Lavapiés,Lavapiés-Embajadores,723000,2, No,Exterior,123.0,5.0,2.0,False,Segunda mano/buen estado,True,Oeste,1900.0,Gas natural,True,Plaza de Lavapiés,Distrito Centro,"Madrid capital, Madrid",
107684577,Piso en venta en calle de San Gregorio,Chueca-Justicia,2450000,2, Si,Exterior,166.0,2.0,2.0,False,Segunda mano/buen estado,True,Sur,1900.0,Eléctrica,True,Calle de San Gregorio,Distrito Centro,"Madrid capital, Madrid",
108460722,Piso en venta en calle de Trujillos,Sol,750000,2, Si,Exterior,114.0,2.0,2.0,True,Segunda mano/buen estado,False,,1980.0,,False,Calle de Trujillos,Distrito Centro,"Madrid capital, Madrid",
102711209,Piso en venta en Carrera de San Jerónimo,Sol,2350000,5, Si,Exterior,218.0,4.0,4.0,True,Segunda mano/buen estado,False,,1920.0,Gas natural,True,,Distrito Centro,"Madrid capital, Madrid",
108236117,Piso en venta en calle de Miguel Moya,Malasaña-Universidad,1300000,1, No,Interior,102.0,3.0,3.0,False,Segunda mano/buen estado,False,Sur,1934.0,Gas,False,Calle de Miguel Moya,Distrito Centro,"Madrid capital, Madrid",
108503523,Piso en venta en calle del Mesón de Paredes,Lavapiés-Embajadores,350000,2, Si,Exterior,56.0,2.0,,False,Segunda mano/buen estado,False,Sur,1985.0,Bomba de frío/calor,True,Calle del Mesón de Paredes,Distrito Centro,"Madrid capital, Madrid",
107361630,Piso en venta en Palacio,Centro,1595000,2, Si,Exterior,188.0,3.0,2.0,False,Segunda mano/buen estado,True,,1910.0,,True,,Distrito Centro,"Madrid capital, Madrid",
108357222,Piso en venta en calle de las Infantas,Chueca-Justicia,549000,2, Si,Exterior,63.0,,,False,Segunda mano/buen estado,True,Norte,1900.0,,True,Calle de las Infantas,Distrito Centro,"Madrid capital, Madrid",
106822977,Estudio en venta en calle de San Andrés,Malasaña-Universidad,220000,,,,38.0,,,False,Segunda mano/buen estado,False,Sur,1900.0,Eléctrica,False,Calle de San Andrés,Distrito Centro,"Madrid capital, Madrid",
108368239,Ático en venta en Chueca-Justicia,Centro,6200000,5, Si,Exterior,311.0,4.0,4.0,True,Segunda mano/buen estado,True,,1922.0,,True,,Distrito Centro,"Madrid capital, Madrid",
107807819,Piso en venta en Malasaña-Universidad,Centro,1395000,4, Si,Exterior,128.0,2.0,2.0,False,Segunda mano/buen estado,True,Este,1904.0,Gas natural,True,,Distrito Centro,"Madrid capital, Madrid",
108197442,Piso en venta en Chueca-Justicia,Centro,2950000,3, Si,Exterior,265.0,4.0,4.0,False,Segunda mano/buen estado,True,,,,True,,Distrito Centro,"Madrid capital, Madrid",
107308505,Piso en venta en calle del Divino Pastor,Malasaña-Universidad,1060000,1, Si,Exterior,129.0,2.0,2.0,False,Segunda mano/buen estado,True,Este,,Gas natural,True,Calle del Divino Pastor,Distrito Centro,"Madrid capital, Madrid",
107916925,Piso en venta en calle del Limón,Malasaña-Universidad,349000,,,,45.0,2.0,,False,Segunda mano/buen estado,True,Sur,1950.0,Gas natural,False,Calle del Limón,Distrito Centro,"Madrid capital, Madrid",
108447881,Dúplex en venta en Malasaña-Universidad,Centro,1295000,4, Si,Exterior,170.0,2.0,2.0,False,Segunda mano/buen estado,False,,1900.0,Gas natural,False,,Distrito Centro,"Madrid capital, Madrid",
108112577,Piso en venta en travesía de San Mateo,Chueca-Justicia,1490000,1, Si,Exterior,127.0,2.0,2.0,False,Segunda mano/buen estado,True,Norte,,Gas natural,True,,Distrito Centro,"Madrid capital, Madrid",
107087838,Piso en venta en Sol,Centro,3390000,2, Si,Exterior,438.0,4.0,3.0,False,Segunda mano/buen estado,True,Sur,,,False,,Distrito Centro,"Madrid capital, Madrid",
