id;Planta;Ascensor;EXT-INT
106412566;-1; Si;Interior
106208580;-1; Si;Interior
108601963;-1; No;Exterior
108260365;-1; Si;Interior
108214484;-1; No;Interior
108533889;-1; No;Interior
107600697;-1; Si;Exterior
108236117;1; No;Interior
107308505;1; Si;Exterior
108112577;1; Si;Exterior
105639958;1; Si;Exterior
107901526;1; Si;Exterior
107616430;1; Si;Exterior
108327279;1; Si;Exterior
107996479;1; Si;Interior
105575130;1; Si;Exterior
107823880;1; No;Exterior
108194870;1; Si;Exterior
107992639;1; Si;Exterior
105987448;1; Si;Exterior
107626574;1; Si;Exterior
106394179;1; Si;Interior
105968245;1; Si;Exterior
108014544;1; Si;Exterior
104577165;1; Si;Exterior
107946948;1; Si;Exterior
101932319;1; Si;Exterior
108646755;1; Si;Exterior
107696233;1; Si;Interior
108515352;1; No;Exterior
105503320;1; Si;Exterior
105935294;1; Si;Exterior
107990346;1; Si;Exterior
107694236;1; Si;Exterior
107585855;1; Si;Exterior
107445239;1; Si;Exterior
108124424;1; Si;Exterior
107798469;1; Si;Exterior
107822371;1; Si;Exterior
107822527;1; Si;Exterior
106734301;1; Si;Exterior
108602525;1; Si;Exterior
108357509;1; Si;Exterior
106737887;1; Si;Exterior
108628857;1; Si;Exterior
107615350;1; Si;Exterior
107123975;1; Si;Exterior
108628981;1; No;Exterior
107470189;1; Si;Exterior
108461612;1; Si;Exterior
106743824;1; Si;Exterior
103578860;1; Si;Interior
107879453;1; No;Exterior
108425480;1; Si;Interior
107979842;1; Si;Exterior
108370796;1; Si;Exterior
104066594;1; Si;Exterior
107799111;1; Si;Exterior
106894932;1; Si;Exterior
107123764;1; Si;Exterior
108197038;1; Si;Exterior
107669899;1; Si;Exterior
108364339;1; Si;Exterior
104578457;1; Si;Exterior
107408997;1; No;Exterior
108319269;1; Si;Interior
107988744;1; No;Exterior
99341040;1; No;Interior
108094358;1; Si;Exterior
108048413;1; No;Interior
107652941;1; No;Exterior
107633807;1; Si;Exterior
108434901;1; Si;Interior
103005702;1; Si;Exterior
104696940;1; Si;Exterior
108477052;1; Si;Interior
106524183;1; Si;Exterior
107801346;1; No;Interior
108305199;1; Si;Interior
108114162;1; Si;Exterior
104112397;1; No;Interior
108598785;1; Si;Exterior
108650945;1; Si;Exterior
108282305;1; Si;Interior
108427027;1; Si;Exterior
101852482;1; Si;Exterior
108447679;1; Si;Exterior
108554462;1; No;Interior
108350301;1; No;Exterior
104597197;1; No;Exterior
104305083;1; Si;Exterior
107446755;1; Si;Exterior
106400658;1; Si;Interior
108379309;1; Si;Exterior
108644104;1; Si;Exterior
102985794;1; Si;Exterior
108262923;1; Si;Exterior
108229383;1; Si;Exterior
104638850;1; Si;Exterior
108304989;1; No;Interior
108535945;1; Si;Exterior
108580947;1; Si;Interior
108261804;1; Si;Interior
108300155;1; Si;Exterior
107869206;1; Si;Exterior
108296637;1; Si;Exterior
108627139;1; Si;Exterior
106777391;1; Si;Exterior
108574295;1; No;Exterior
104963427;1; No;Interior
107381861;1; Si;Exterior
108126256;1; Si;Interior
107857453;1; No;Exterior
107855638;1; No;Exterior
107942824;1; No;Interior
108143174;1; Si;Exterior
108581018;1; Si;Interior
106440890;1; No;Exterior
108120680;1; Si;Exterior
89781563;1; Si;Interior
106700910;1; Si;Exterior
106358712;1; No;Interior
107372678;1; No;Exterior
104045905;1; Si;Exterior
107023485;1; Si;Exterior
108429768;1; Si;Exterior
106638626;1; Si;Exterior
108341136;1; Si;Exterior
107221127;1; Si;Exterior
106202430;1; Si;Exterior
103326988;1; Si;Exterior
108521437;1; Si;Exterior
107153547;1; Si;Interior
108334423;1; Si;Exterior
102883511;1; Si;Exterior
107557953;1; Si;Exterior
105950707;1; No;Interior
107749301;1; Si;Exterior
108591016;1; Si;Exterior
107425340;1; Si;Exterior
107343835;1; Si;Exterior
95093525;1; Si;Interior
108295103;1; Si;Interior
104603304;1; Si;Interior
107899518;1; Si;Exterior
107456152;1; Si;Exterior
83228409;1; Si;Interior
104388089;1; Si;Exterior
106475909;1; No;Exterior
108145141;1; No;Exterior
106293197;1; No;Interior
108380343;1; No;Interior
108560183;1; Si;Exterior
108093451;1; Si;Interior
102885874;1; Si;Exterior
108253771;1; No;Exterior
107368807;1; No;Exterior
108351424;1; No;Exterior
108598667;1; Si;Exterior
108542970;1; No;Exterior
108438926;1; No;Exterior
107558314;1; No;Exterior
106641630;1; Si;Exterior
107916742;1; Si;Interior
106982554;1; Si;Exterior
108358306;1; Si;Exterior
107933397;1; No;Exterior
108015335;1; No;Interior
108424471;1; Si;Interior
108450761;1; Si;Exterior
107323482;1; No;Exterior
107968191;1; No;Interior
108298840;1; Si;Interior
107720221;1; Si;Interior
108546753;1; No;Interior
106095231;1; Si;Exterior
106126212;1; Si;Exterior
106065853;1; No;Exterior
106894409;1; Si;Exterior
107726516;1; No;Interior
106574955;1; Si;Exterior
108648815;1; Si;Exterior
106509829;1; Si;Interior
107444702;1; Si;Exterior
102191997;1; No;Exterior
104566944;1; Si;Interior
104499961;1; Si;Exterior
107326560;1; Si;Exterior
108030844;1; Si;Exterior
108525926;1; Si;Exterior
108519904;1; Si;Exterior
107626420;1; Si;Interior
106588391;1; Si;Exterior
107718723;1; No;Exterior
106718419;1; Si;Exterior
107491344;1; Si;Exterior
107491406;1; Si;Exterior
106912159;1; Si;Exterior
107795531;1; Si;Exterior
108626309;1; Si;Interior
103152104;1; No;Exterior
108588125;1; Si;Exterior
106714306;1; Si;Exterior
108426911;1; Si;Exterior
107470368;1; Si;Exterior
107977226;1; No;Interior
108515008;1; Si;Interior
106444306;1; Si;Exterior
108195560;1; Si;Exterior
106117538;1; Si;Exterior
107210019;1; Si;Exterior
108335531;1; Si;Exterior
106651993;1; Si;Exterior
108240229;1; No;Exterior
107939360;1; Si;Exterior
104987954;1; No;Exterior
106093771;1; Si;Exterior
106827944;1; Si;Exterior
107939338;1; Si;Exterior
107943973;1; Si;Exterior
107939357;1; Si;Exterior
108641627;1; Si;Exterior
107940527;1; Si;Exterior
108645370;1; No;Exterior
106690609;1; Si;Interior
108192040;1; No;Interior
108453839;1; Si;Exterior
108601304;1; Si;Exterior
107450682;1; Si;
106261389;1; Si;Exterior
108506428;1; Si;Exterior
108525092;1; Si;Exterior
103160675;1; No;Exterior
108445882;1; Si;Exterior
106860311;1; Si;Interior
108445721;1; No;Exterior
105559993;1; Si;Exterior
108453808;1; Si;Exterior
105598424;1; Si;Interior
108436090;1; Si;Interior
108128299;1; Si;Exterior
108292227;1; Si;Exterior
107445194;1; Si;Exterior
106865650;1; Si;Exterior
108366735;1; Si;Interior
107447104;1; Si;Exterior
108221401;1; Si;Exterior
108460633;1; Si;Exterior
107211782;1; Si;Exterior
107102109;1; Si;Exterior
107838640;1; Si;Exterior
107275236;1; Si;Exterior
108489377;1; Si;Exterior
107385527;1; Si;Exterior
107323684;1; Si;Exterior
108032853;1; Si;Exterior
106572435;1; Si;Exterior
107891257;1; Si;Exterior
108448127;1; Si;Exterior
108363944;1; Si;Exterior
107742008;1; Si;Exterior
108623770;1; Si;Exterior
106976537;1; Si;Exterior
105904607;1; Si;Exterior
108271238;1; Si;Exterior
108082602;1; Si;Exterior
108600097;1; Si;Exterior
108392936;1; Si;Exterior
108007038;1; Si;Exterior
108598873;1; Si;Exterior
108430448;1; No;Exterior
107683664;1; Si;Interior
107187064;1; Si;Exterior
108638822;1; Si;Exterior
108120340;1; Si;Exterior
108105310;1; Si;Exterior
108105290;1; Si;Interior
107367445;1; Si;Exterior
103381549;1; Si;Exterior
108387549;1; Si;Exterior
108595606;1; Si;Exterior
108413739;1; No;Interior
107785434;1; Si;Exterior
108581352;1; Si;Exterior
107098347;1; Si;Exterior
108526800;1; Si;Exterior
106303763;1; Si;Exterior
106567282;1; Si;Exterior
108315219;1; Si;Exterior
107559241;1; Si;Exterior
104831854;1; Si;Exterior
106051828;1; Si;Exterior
104192593;1; Si;Exterior
107558507;1; Si;Exterior
108250253;1; Si;Exterior
107002965;1; Si;Exterior
108510358;1; Si;Exterior
107627214;1; Si;Exterior
35871025;1; Si;Exterior
107700342;1; Si;Exterior
108091394;1; Si;Exterior
108356540;1; No;Exterior
106466495;1; Si;Exterior
102451535;1; Si;Exterior
108429628;1; Si;Exterior
105254140;1; Si;Interior
108238862;1; Si;Exterior
107022842;1; Si;Exterior
107271124;1; Si;Exterior
108564778;1; Si;Exterior
106598304;1; Si;Exterior
107720133;1; Si;Exterior
108324046;1; Si;Exterior
107999792;1; Si;Exterior
106891898;1; Si;Exterior
107569770;1; Si;Exterior
108225129;1; Si;Exterior
108611951;1; Si;Exterior
104588582;1; Si;Exterior
107934601;1; Si;Exterior
108530257;1; Si;Exterior
108379574;1; Si;Exterior
107125363;1; Si;Exterior
107914163;1; Si;Exterior
107443836;1; Si;Exterior
108379833;1; Si;Exterior
108264952;1; Si;Exterior
108632517;1; Si;Interior
107669970;1; Si;Exterior
107808222;1; Si;Exterior
108053722;1; Si;Interior
107953989;1; Si;Interior
108296843;1; Si;Exterior
108279710;1; Si;Interior
108553574;1; Si;Exterior
108625370;1; Si;Exterior
108597048;1; Si;Exterior
108340238;1; No;Interior
107821178;1; Si;Exterior
106267194;1; Si;Exterior
108226467;1; Si;Exterior
108364548;1; Si;Interior
108375208;1; Si;Exterior
108227198;1; Si;Interior
105932827;1; Si;Exterior
107745044;1; No;Exterior
108005506;1; Si;Exterior
108584074;1; Si;Interior
108634096;1; Si;Exterior
108397792;1; Si;Exterior
107764140;1; Si;Exterior
104949549;1; Si;Interior
108142376;1; Si;Exterior
108177713;1; Si;Exterior
108391665;1; Si;Exterior
108437914;1; Si;Exterior
108376641;1; Si;Interior
108517693;1; Si;Interior
108628867;1; Si;Exterior
108349087;1; Si;Exterior
108379563;1; Si;Interior
108612633;1; Si;Interior
108613339;1; Si;Exterior
108587303;1; Si;Interior
107953876;1; Si;Exterior
108383571;1; Si;Exterior
108444990;1; Si;Exterior
84894948;1; Si;Exterior
108554159;1; No;Interior
108577606;1; Si;Exterior
106322462;1; Si;Exterior
108380396;1; No;Interior
108398030;1; Si;Interior
107929150;1; Si;Exterior
108263928;1; No;Interior
108037215;1; Si;Exterior
104368915;1; Si;Exterior
108562891;1; Si;Exterior
108601465;1; Si;Exterior
106058877;1; Si;Exterior
107725642;1; Si;Exterior
98750461;1; Si;Exterior
108608920;1; Si;Interior
107551859;1; Si;Exterior
