Fecha,Precio_m2_chamartin
2025-07-01,7463.22
2025-06-01,7368.66
2025-05-01,7245.7
2025-04-01,7109.61
2025-03-01,6988.41
2025-02-01,6821.7
2025-01-01,6642.09
2024-12-01,6632.47
2024-11-01,6573.0
2024-10-01,6446.13
2024-09-01,6430.42
2024-08-01,6426.25
2024-07-01,6389.36
2024-06-01,6284.71
2024-05-01,6214.16
2024-04-01,6094.25
2024-03-01,6039.1
2024-02-01,5956.37
2024-01-01,5937.79
2023-12-01,5863.45
2023-11-01,5784.83
2023-10-01,5750.65
2023-09-01,5746.65
2023-08-01,5734.67
2023-07-01,5732.05
2023-06-01,5701.18
2023-05-01,5653.86
2023-04-01,5613.98
2023-03-01,5658.54
2023-02-01,5694.94
2023-01-01,5610.11
2022-12-01,5577.36
2022-11-01,5533.41
2022-10-01,5557.52
2022-09-01,5513.18
2022-08-01,5465.14
2022-07-01,5506.02
2022-06-01,5440.63
2022-05-01,5382.01
2022-04-01,5303.1
2022-03-01,5217.65
2022-02-01,5195.31
2022-01-01,5185.67
2021-12-01,5092.64
2021-11-01,5096.56
2021-10-01,5089.86
2021-09-01,5102.04
2021-08-01,5072.12
2021-07-01,5102.1
2021-06-01,5136.5
2021-05-01,5083.34
2021-04-01,5032.84
2021-03-01,4987.71
2021-02-01,4991.14
2021-01-01,4946.75
2020-12-01,4994.99
2020-11-01,5022.61
2020-10-01,5019.13
2020-09-01,5030.35
2020-08-01,5068.12
2020-07-01,5102.61
2020-06-01,5190.35
2020-05-01,5204.82
2020-04-01,5158.18
2020-03-01,5148.35
2020-02-01,5125.29
2020-01-01,5073.16
2019-12-01,5035.45
2019-11-01,4986.1
2019-10-01,4994.78
2019-09-01,5007.74
2019-08-01,4976.77
2019-07-01,4981.38
2019-06-01,4951.41
2019-05-01,5015.71
2019-04-01,5041.16
2019-03-01,5102.49
2019-02-01,5145.54
2019-01-01,5109.32
2018-12-01,5125.3
2018-11-01,5111.38
2018-10-01,5055.31
2018-09-01,5016.63
2018-08-01,4946.16
2018-07-01,4910.54
2018-06-01,4864.3
2018-05-01,4852.57
2018-04-01,4796.63
2018-03-01,4753.0
2018-02-01,4720.4
2018-01-01,4637.68
2017-12-01,4569.91
2017-11-01,4545.45
2017-10-01,4533.37
2017-09-01,4482.76
2017-08-01,4453.38
2017-07-01,4408.15
2017-06-01,4392.32
2017-05-01,4368.54
2017-04-01,4340.28
2017-03-01,4303.91
2017-02-01,4276.84
2017-01-01,4245.61
2016-12-01,4212.61
2016-11-01,4213.52
2016-10-01,4218.57
2016-09-01,4222.55
2016-08-01,4183.94
2016-07-01,4134.41
2016-06-01,4119.24
2016-05-01,4151.21
2016-04-01,4112.47
2016-03-01,4097.75
2016-02-01,4069.37
2016-01-01,4059.43
2015-12-01,4020.35
2015-11-01,4010.12
2015-10-01,3979.03
2015-09-01,3998.98
2015-08-01,3980.29
2015-07-01,3999.63
2015-06-01,4003.84
2015-05-01,3961.78
2015-04-01,3953.15
2015-03-01,3959.99
2015-02-01,3936.97
2015-01-01,3913.81
2014-12-01,3888.53
2014-11-01,3886.75
2014-10-01,3877.34
2014-09-01,3883.58
2014-08-01,3884.62
2014-07-01,3912.09
2014-06-01,3903.63
2014-05-01,3865.54
2014-04-01,3889.07
2014-03-01,3874.52
2014-02-01,3864.26
2014-01-01,3872.92
2013-12-01,3871.28
2013-11-01,3900.5
2013-10-01,3890.56
2013-09-01,3924.68
2013-08-01,3915.51
2013-07-01,3943.04
2013-06-01,3946.89
2013-05-01,3949.03
2013-04-01,3973.3
2013-03-01,3988.22
2013-02-01,4028.99
2013-01-01,4050.7
2012-12-01,4041.39
2012-11-01,4083.32
2012-10-01,4128.47
2012-09-01,4117.94
2012-08-01,4133.4
2012-07-01,4184.27
2012-06-01,4244.65
2012-05-01,4268.02
2012-04-01,4293.74
2012-03-01,4287.3
2012-02-01,4331.32
2012-01-01,4358.95
2011-12-01,4366.59
2011-11-01,4417.39
2011-10-01,4426.46
2011-09-01,4445.91
2011-08-01,4471.69
2011-07-01,4528.88
2011-06-01,4590.65
2011-05-01,4593.46
2011-04-01,4579.21
2011-03-01,4574.27
2011-02-01,4619.42
2011-01-01,4655.05
2010-12-01,4693.49
2010-11-01,4687.16
2010-10-01,4739.87
2010-09-01,4681.52
2010-08-01,4657.27
2010-07-01,4687.56
2010-06-01,4717.74
2010-05-01,4739.03
2010-04-01,4611.11
2010-03-01,4545.53
2010-02-01,4572.6
2010-01-01,4632.02
2009-12-01,4631.35
2009-11-01,4639.32
2009-10-01,4568.55
2009-09-01,4542.18
2009-08-01,4417.95
2009-07-01,4494.47
2009-06-01,4620.81
2009-05-01,4719.03
2009-04-01,4818.29
2009-03-01,4840.23
2009-02-01,4788.61
2009-01-01,4772.13
2008-12-01,4615.29
2008-11-01,4651.49
2008-10-01,4692.6
2008-09-01,4781.42
2008-08-01,4695.31
2008-07-01,4697.35
2008-06-01,4640.43
2008-05-01,4656.86
2008-04-01,4795.43
2008-03-01,4956.42
2008-02-01,4756.26
2008-01-01,4752.9
2007-12-01,4548.58
2007-11-01,4611.11
2007-10-01,4528.26
