Fecha,Precio_m2_majadahonda
2025-07-01,3544.08
2025-06-01,3488.25
2025-05-01,3445.16
2025-04-01,3387.79
2025-03-01,3380.49
2025-02-01,3344.86
2025-01-01,3329.06
2024-12-01,3380.71
2024-11-01,3390.45
2024-10-01,3403.58
2024-09-01,3411.32
2024-08-01,3317.73
2024-07-01,3259.34
2024-06-01,3194.97
2024-05-01,3216.21
2024-04-01,3213.57
2024-03-01,3198.74
2024-02-01,3193.1
2024-01-01,3234.9
2023-12-01,3221.15
2023-11-01,3216.44
2023-10-01,3263.25
2023-09-01,3248.08
2023-08-01,3180.19
2023-07-01,3152.25
2023-06-01,3116.44
2023-05-01,3074.38
2023-04-01,3121.9
2023-03-01,3141.32
2023-02-01,3085.44
2023-01-01,3061.38
2022-12-01,3076.6
2022-11-01,3078.87
2022-10-01,3038.74
2022-09-01,2993.4
2022-08-01,2968.5
2022-07-01,2939.36
2022-06-01,2896.11
2022-05-01,2935.55
2022-04-01,2951.01
2022-03-01,2926.56
2022-02-01,2876.32
2022-01-01,2848.05
2021-12-01,2854.23
2021-11-01,2831.66
2021-10-01,2768.29
2021-09-01,2705.89
2021-08-01,2722.92
2021-07-01,2692.04
2021-06-01,2715.42
2021-05-01,2695.37
2021-04-01,2686.02
2021-03-01,2679.88
2021-02-01,2650.32
2021-01-01,2606.74
2020-12-01,2605.69
2020-11-01,2589.88
2020-10-01,2563.35
2020-09-01,2527.84
2020-08-01,2511.58
2020-07-01,2466.65
2020-06-01,2421.2
2020-05-01,2418.71
2020-04-01,2433.59
2020-03-01,2463.81
2020-02-01,2471.82
2020-01-01,2486.01
2019-12-01,2529.12
2019-11-01,2537.05
2019-10-01,2513.08
2019-09-01,2501.21
2019-08-01,2521.52
2019-07-01,2509.49
2019-06-01,2507.1
2019-05-01,2608.82
2019-04-01,2628.82
2019-03-01,2495.81
2019-02-01,2448.01
2019-01-01,2433.89
2018-12-01,2446.96
2018-11-01,2436.19
2018-10-01,2390.65
2018-09-01,2321.11
2018-08-01,2294.11
2018-07-01,2291.28
2018-06-01,2255.89
2018-05-01,2217.41
2018-04-01,2179.2
2018-03-01,2173.54
2018-02-01,2150.08
2018-01-01,2147.06
2017-12-01,2160.17
2017-11-01,2162.55
2017-10-01,2142.38
2017-09-01,2127.42
2017-08-01,2138.19
2017-07-01,2110.15
2017-06-01,2109.76
2017-05-01,2077.87
2017-04-01,2103.76
2017-03-01,2107.47
2017-02-01,2109.24
2017-01-01,2123.01
2016-12-01,2132.28
2016-11-01,2128.37
2016-10-01,2122.67
2016-09-01,2106.31
2016-08-01,2099.75
2016-07-01,2125.9
2016-06-01,2142.48
2016-05-01,2146.79
2016-04-01,2120.67
2016-03-01,2107.1
2016-02-01,2096.05
2016-01-01,2090.35
2015-12-01,2080.18
2015-11-01,2080.97
2015-10-01,2080.58
2015-09-01,2091.5
2015-08-01,2089.37
2015-07-01,2089.14
2015-06-01,2095.71
2015-05-01,2081.99
2015-04-01,2073.82
2015-03-01,2074.24
2015-02-01,2071.21
2015-01-01,2051.34
2014-12-01,2062.19
2014-11-01,2058.52
2014-10-01,2075.2
2014-09-01,2069.52
2014-08-01,2070.51
2014-07-01,2079.63
2014-06-01,2084.75
2014-05-01,2076.38
2014-04-01,2070.3
2014-03-01,2085.09
2014-02-01,2100.39
2014-01-01,2091.03
2013-12-01,2106.89
2013-11-01,2128.18
2013-10-01,2119.34
2013-09-01,2140.01
2013-08-01,2135.03
2013-07-01,2147.38
2013-06-01,2157.27
2013-05-01,2172.64
2013-04-01,2187.07
2013-03-01,2174.25
2013-02-01,2193.96
2013-01-01,2221.4
2012-12-01,2255.35
2012-11-01,2269.21
2012-10-01,2284.04
2012-09-01,2294.83
2012-08-01,2323.51
2012-07-01,2364.88
2012-06-01,2387.43
2012-05-01,2404.77
2012-04-01,2433.93
2012-03-01,2461.94
2012-02-01,2481.16
2012-01-01,2489.32
2011-12-01,2493.67
2011-11-01,2527.4
2011-10-01,2524.92
2011-09-01,2543.74
2011-08-01,2551.65
2011-07-01,2567.11
2011-06-01,2578.33
2011-05-01,2597.36
2011-04-01,2612.52
2011-03-01,2606.13
2011-02-01,2607.05
2011-01-01,2609.42
2010-12-01,2607.07
2010-11-01,2630.85
2010-10-01,2646.56
2010-09-01,2668.64
2010-08-01,2665.8
2010-07-01,2647.24
2010-06-01,2657.14
2010-05-01,2685.12
2010-04-01,2624.0
2010-03-01,2626.93
2010-02-01,2635.94
2010-01-01,2652.35
2009-12-01,2639.07
2009-11-01,2681.95
2009-10-01,2716.78
2009-09-01,2713.84
2009-08-01,2679.41
2009-07-01,2692.68
2009-06-01,2696.67
2009-05-01,2780.86
2009-04-01,2779.95
2009-03-01,2825.85
2009-02-01,2783.53
2009-01-01,2765.41
2008-12-01,2815.44
2008-11-01,2810.86
2008-10-01,2688.25
2008-09-01,2826.0
2008-08-01,2889.42
2008-07-01,2892.39
2008-06-01,2811.2
2008-05-01,2769.65
2008-04-01,2775.66
2008-03-01,2785.11
2008-02-01,2786.71
2008-01-01,2816.97
2007-12-01,2729.79
2007-11-01,2877.96
2007-10-01,2918.68
