Fecha,Precio_m2_salamanca
2025-07-01,9925.58
2025-06-01,9817.9
2025-05-01,9687.16
2025-04-01,9589.47
2025-03-01,9373.63
2025-02-01,9067.1
2025-01-01,8993.13
2024-12-01,8818.07
2024-11-01,8642.38
2024-10-01,8457.92
2024-09-01,8291.93
2024-08-01,8056.68
2024-07-01,7990.23
2024-06-01,7846.39
2024-05-01,7670.68
2024-04-01,7617.5
2024-03-01,7373.56
2024-02-01,7252.6
2024-01-01,7185.88
2023-12-01,7044.44
2023-11-01,6924.41
2023-10-01,6824.02
2023-09-01,6737.5
2023-08-01,6728.8
2023-07-01,6653.85
2023-06-01,6626.53
2023-05-01,6531.69
2023-04-01,6488.69
2023-03-01,6487.12
2023-02-01,6426.11
2023-01-01,6408.05
2022-12-01,6421.77
2022-11-01,6456.81
2022-10-01,6469.71
2022-09-01,6469.46
2022-08-01,6448.64
2022-07-01,6434.41
2022-06-01,6412.54
2022-05-01,6353.8
2022-04-01,6268.23
2022-03-01,6153.21
2022-02-01,6052.48
2022-01-01,5989.51
2021-12-01,5940.64
2021-11-01,5915.23
2021-10-01,5935.86
2021-09-01,5952.3
2021-08-01,5924.23
2021-07-01,5937.1
2021-06-01,5854.79
2021-05-01,5781.24
2021-04-01,5744.19
2021-03-01,5742.52
2021-02-01,5686.81
2021-01-01,5636.5
2020-12-01,5634.08
2020-11-01,5671.3
2020-10-01,5721.82
2020-09-01,5690.45
2020-08-01,5694.46
2020-07-01,5762.87
2020-06-01,5816.05
2020-05-01,5816.19
2020-04-01,5786.81
2020-03-01,5779.47
2020-02-01,5750.29
2020-01-01,5775.25
2019-12-01,5757.46
2019-11-01,5756.33
2019-10-01,5775.59
2019-09-01,5759.95
2019-08-01,5769.63
2019-07-01,5781.3
2019-06-01,5816.63
2019-05-01,5805.09
2019-04-01,5799.71
2019-03-01,5742.17
2019-02-01,5748.91
2019-01-01,5697.28
2018-12-01,5684.44
2018-11-01,5704.27
2018-10-01,5654.47
2018-09-01,5589.43
2018-08-01,5619.79
2018-07-01,5569.57
2018-06-01,5458.56
2018-05-01,5387.5
2018-04-01,5347.86
2018-03-01,5309.23
2018-02-01,5236.31
2018-01-01,5163.06
2017-12-01,5097.63
2017-11-01,4973.96
2017-10-01,4914.55
2017-09-01,4882.99
2017-08-01,4871.61
2017-07-01,4821.52
2017-06-01,4713.32
2017-05-01,4616.15
2017-04-01,4559.12
2017-03-01,4561.23
2017-02-01,4588.68
2017-01-01,4546.85
2016-12-01,4509.45
2016-11-01,4408.79
2016-10-01,4394.4
2016-09-01,4381.4
2016-08-01,4336.8
2016-07-01,4321.99
2016-06-01,4318.0
2016-05-01,4287.3
2016-04-01,4301.81
2016-03-01,4299.7
2016-02-01,4322.17
2016-01-01,4318.75
2015-12-01,4335.26
2015-11-01,4327.28
2015-10-01,4299.01
2015-09-01,4277.39
2015-08-01,4288.03
2015-07-01,4199.71
2015-06-01,4212.54
2015-05-01,4198.64
2015-04-01,4178.4
2015-03-01,4113.13
2015-02-01,4105.17
2015-01-01,4131.74
2014-12-01,4130.78
2014-11-01,4132.73
2014-10-01,4122.59
2014-09-01,4125.57
2014-08-01,4077.1
2014-07-01,4077.91
2014-06-01,4063.37
2014-05-01,4024.34
2014-04-01,4051.5
2014-03-01,4061.23
2014-02-01,4040.07
2014-01-01,4059.14
2013-12-01,4035.62
2013-11-01,4029.41
2013-10-01,3990.92
2013-09-01,4022.33
2013-08-01,3994.11
2013-07-01,4035.44
2013-06-01,4062.46
2013-05-01,4087.82
2013-04-01,4118.99
2013-03-01,4146.2
2013-02-01,4170.77
2013-01-01,4167.95
2012-12-01,4175.09
2012-11-01,4158.96
2012-10-01,4150.36
2012-09-01,4154.38
2012-08-01,4177.96
2012-07-01,4189.34
2012-06-01,4179.81
2012-05-01,4208.2
2012-04-01,4314.85
2012-03-01,4359.12
2012-02-01,4389.07
2012-01-01,4416.39
2011-12-01,4432.02
2011-11-01,4469.51
2011-10-01,4448.73
2011-09-01,4449.44
2011-08-01,4495.9
2011-07-01,4594.47
2011-06-01,4598.41
2011-05-01,4598.39
2011-04-01,4621.64
2011-03-01,4640.64
2011-02-01,4633.82
2011-01-01,4654.12
2010-12-01,4654.08
2010-11-01,4722.83
2010-10-01,4668.85
2010-09-01,4708.93
2010-08-01,4744.04
2010-07-01,4751.47
2010-06-01,4735.15
2010-05-01,4728.01
2010-04-01,4686.28
2010-03-01,4704.33
2010-02-01,4705.92
2010-01-01,4713.83
2009-12-01,4725.45
2009-11-01,4780.67
2009-10-01,4786.34
2009-09-01,4737.71
2009-08-01,4708.14
2009-07-01,4718.38
2009-06-01,4884.44
2009-05-01,4918.03
2009-04-01,5018.07
2009-03-01,4996.03
2009-02-01,4902.96
2009-01-01,4861.38
2008-12-01,4803.45
2008-11-01,4805.64
2008-10-01,4893.77
2008-09-01,4806.18
2008-08-01,4909.74
2008-07-01,4845.01
2008-06-01,4845.01
2008-05-01,4642.61
2008-04-01,4705.88
2008-03-01,4906.25
2008-02-01,4700.85
2008-01-01,4791.67
2007-12-01,4700.85
2007-11-01,4906.25
