Fecha;Precio_m2_tetuan
01/07/2025;5471
01/06/2025;5430
01/05/2025;5336
01/04/2025;5306
01/03/2025;5162
01/02/2025;4984
01/01/2025;4988
01/12/2024;4996
01/11/2024;4950
01/10/2024;4818
01/09/2024;4671
01/08/2024;4642
01/07/2024;4600
01/06/2024;4536
01/05/2024;4491
01/04/2024;4461
01/03/2024;4344
01/02/2024;4260
01/01/2024;4165
01/12/2023;4175
01/11/2023;4145
01/10/2023;4131
01/09/2023;4110
01/08/2023;4125
01/07/2023;4088
01/06/2023;4110
01/05/2023;4094
01/04/2023;4068
01/03/2023;4041
01/02/2023;4030
01/01/2023;4000
01/12/2022;3999
01/11/2022;3984
01/10/2022;3914
01/09/2022;3909
01/08/2022;3918
01/07/2022;3889
01/06/2022;3833
01/05/2022;3791
01/04/2022;3798
01/03/2022;3747
01/02/2022;3690
01/01/2022;3670
01/12/2021;3666
01/11/2021;3657
01/10/2021;3664
01/09/2021;3661
01/08/2021;3647
01/07/2021;3660
01/06/2021;3665
01/05/2021;3640
01/04/2021;3656
01/03/2021;3678
01/02/2021;3679
01/01/2021;3672
01/12/2020;3660
01/11/2020;3678
01/10/2020;3662
01/09/2020;3684
01/08/2020;3687
01/07/2020;3709
01/06/2020;3736
01/05/2020;3706
01/04/2020;3702
01/03/2020;3692
01/02/2020;3685
01/01/2020;3631
01/12/2019;3674
01/11/2019;3686
01/10/2019;3703
01/09/2019;3682
01/08/2019;3685
01/07/2019;3681
01/06/2019;3707
01/05/2019;3698
01/04/2019;3720
01/03/2019;3723
01/02/2019;3682
01/01/2019;3637
01/12/2018;3612
01/11/2018;3651
01/10/2018;3627
01/09/2018;3572
01/08/2018;3532
01/07/2018;3457
01/06/2018;3446
01/05/2018;3408
01/04/2018;3341
01/03/2018;3287
01/02/2018;3209
01/01/2018;3133
01/12/2017;3096
01/11/2017;3099
01/10/2017;3109
01/09/2017;3007
01/08/2017;2984
01/07/2017;2970
01/06/2017;2925
01/05/2017;2911
01/04/2017;2861
01/03/2017;2836
01/02/2017;2823
01/01/2017;2813
01/12/2016;2776
01/11/2016;2763
01/10/2016;2745
01/09/2016;2738
01/08/2016;2735
01/07/2016;2707
01/06/2016;2695
01/05/2016;2673
01/04/2016;2641
01/03/2016;2624
01/02/2016;2621
01/01/2016;2638
01/12/2015;2621
01/11/2015;2629
01/10/2015;2617
01/09/2015;2620
01/08/2015;2615
01/07/2015;2614
01/06/2015;2598
01/05/2015;2587
01/04/2015;2583
01/03/2015;2573
01/02/2015;2588
01/01/2015;2613
01/12/2014;2599
01/11/2014;2602
01/10/2014;2595
01/09/2014;2601
01/08/2014;2583
01/07/2014;2603
01/06/2014;2603
01/05/2014;2609
01/04/2014;2589
01/03/2014;2631
01/02/2014;2603
01/01/2014;2623
01/12/2013;2648
01/11/2013;2674
01/10/2013;2690
01/09/2013;2705
01/08/2013;2668
01/07/2013;2703
01/06/2013;2697
01/05/2013;2720
01/04/2013;2755
01/03/2013;2779
01/02/2013;2773
01/01/2013;2784
01/12/2012;2809
01/11/2012;2859
01/10/2012;2933
01/09/2012;2940
01/08/2012;2917
01/07/2012;2953
01/06/2012;2996
01/05/2012;3031
01/04/2012;3066
01/03/2012;3094
01/02/2012;3131
01/01/2012;3159
01/12/2011;3158
01/11/2011;3212
01/10/2011;3225
01/09/2011;3227
01/08/2011;3244
01/07/2011;3289
01/06/2011;3330
01/05/2011;3356
01/04/2011;3356
01/03/2011;3400
01/02/2011;3395
01/01/2011;3391
01/12/2010;3398
01/11/2010;3424
01/10/2010;3427
01/09/2010;3446
01/08/2010;3456
01/07/2010;3467
01/06/2010;3506
01/05/2010;3472
01/04/2010;3470
01/03/2010;3473
01/02/2010;3497
01/01/2010;3497
01/12/2009;3488
01/11/2009;3497
01/10/2009;3502
01/09/2009;3536
01/08/2009;3529
01/07/2009;3586
01/06/2009;3571
01/05/2009;3489
01/04/2009;3507
01/03/2009;3539
01/02/2009;3547
01/01/2009;3468
01/12/2008;3545
01/11/2008;3602
01/10/2008;3608
01/09/2008;3577
01/08/2008;3621
01/07/2008;3680
01/06/2008;3708
01/05/2008;3702
01/04/2008;3760
01/03/2008;3833
01/02/2008;3833
01/01/2008;3792
01/12/2007;3857
01/11/2007;3774
01/10/2007;3639
01/09/2007;3558
01/08/2007;3700
01/07/2007;3785
01/06/2007;3857
01/05/2007;3796
01/04/2007;n.d.
01/03/2007;n.d.
01/02/2007;n.d.
01/01/2007;n.d.
01/12/2006;n.d.
01/11/2006;n.d.
01/10/2006;n.d.
01/09/2006;n.d.
01/08/2006;n.d.
01/07/2006;n.d.
01/06/2006;n.d.
01/05/2006;n.d.
01/04/2006;n.d.
01/03/2006;n.d.
01/02/2006;n.d.
01/01/2006;n.d.
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
