Fecha;retiro;rozas;salamanca;torrodolones;pozuelo;moncloa;majadahonda;chamberi;chamartin;centro
2007-06-01;;;;;;;;;;4702.38
2007-07-01;;;;;;;;;;4602.94
2007-08-01;;;;;;;;;;4541.34
2007-09-01;;;;;;;;;;4475.0
2007-10-01;;2918.68;;;;;2918.68;;4528.26;4393.33
2007-11-01;;2877.96;4906.25;;;;2877.96;;4611.11;4393.33
2007-12-01;;2729.79;4700.85;;;;2729.79;;4548.58;4393.94
2008-01-01;;2816.97;4791.67;;3383.71;4656.74;2816.97;4656.74;4752.9;4375.0
2008-02-01;;2786.71;4700.85;2544.0;3357.17;4596.06;2786.71;4596.06;4756.26;4337.35
2008-03-01;4426.63;2785.11;4906.25;2552.0;3376.92;4824.65;2785.11;4824.65;4956.42;4300.0
2008-04-01;4337.29;2775.66;4705.88;2486.77;3258.18;4851.59;2775.66;4851.59;4795.43;4393.94
2008-05-01;4281.84;2769.65;4642.61;2504.05;3244.11;4844.73;2769.65;4844.73;4656.86;4393.94
2008-06-01;4281.84;2811.2;4845.01;2482.54;3220.66;4930.52;2811.2;4930.52;4640.43;4387.5
2008-07-01;4257.76;2892.39;4845.01;2555.67;3245.05;4902.67;2892.39;4902.67;4697.35;4371.0
2008-08-01;4349.08;2889.42;4909.74;2470.26;3315.68;4947.11;2889.42;4947.11;4695.31;4254.55
2008-09-01;4362.02;2826.0;4806.18;2469.76;3294.53;4918.18;2826.0;4918.18;4781.42;4300.0
2008-10-01;4287.12;2688.25;4893.77;2465.84;3289.98;4915.35;2688.25;4915.35;4692.6;4192.31
2008-11-01;4185.54;2810.86;4805.64;2388.81;3324.47;4907.6;2810.86;4907.6;4651.49;4166.67
2008-12-01;4180.7;2815.44;4803.45;2309.75;3531.17;4709.76;2815.44;4709.76;4615.29;4117.65
2009-01-01;3991.86;2765.41;4861.38;2417.09;3496.48;4895.25;2765.41;4895.25;4772.13;4167.01
2009-02-01;4012.79;2783.53;4902.96;2219.49;3343.12;4893.27;2783.53;4893.27;4788.61;4189.19
2009-03-01;4143.48;2825.85;4996.03;2409.71;3398.18;4887.36;2825.85;4887.36;4840.23;4205.88
2009-04-01;4133.62;2779.95;5018.07;2424.43;3417.18;4697.33;2779.95;4697.33;4818.29;4147.98
2009-05-01;3961.84;2780.86;4918.03;2399.81;3373.83;4755.34;2780.86;4755.34;4719.03;4166.67
2009-06-01;3955.59;2696.67;4884.44;2316.6;3371.36;4649.68;2696.67;4649.68;4620.81;4028.57
2009-07-01;3958.06;2692.68;4718.38;2299.22;3397.84;4621.7;2692.68;4621.7;4494.47;4000.0
2009-08-01;3935.79;2679.41;4708.14;2242.74;3330.42;4622.04;2679.41;4622.04;4417.95;4000.0
2009-09-01;4008.56;2713.84;4737.71;2131.88;3351.9;4600.07;2713.84;4600.07;4542.18;4062.5
2009-10-01;4008.15;2716.78;4786.34;2191.93;3294.65;4678.15;2716.78;4678.15;4568.55;4076.92
2009-11-01;4007.83;2681.95;4780.67;2187.77;3395.83;4612.57;2681.95;4612.57;4639.32;4047.62
2009-12-01;3970.89;2639.07;4725.45;2165.14;3326.79;4602.85;2639.07;4602.85;4631.35;4062.5
