precio;vivienda;m2;habitaciones;baños;estado;armarios_empotrados;aire_acondicionado;distrito;municipio;precio_m2;tipo_vivienda
1300;piso;47;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;27.66;Piso
1350;piso;60;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;22.5;Piso
2000;piso;98;3;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;20.41;Piso
1580;piso;50;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;31.6;Piso
1850;piso;85;3;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;21.76;Piso
1650;piso;75;2;2;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;22.0;Piso
1164;estudio;45;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;25.87;Piso
1111;estudio;51;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;21.78;Piso
2500;piso;79;4;2;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;31.65;Piso
1275;piso;40;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;31.88;Piso
1100;estudio;25;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;44.0;Piso
1500;piso;74;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;20.27;Piso
1150;piso;52;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;22.12;Piso
2950;piso;110;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;26.82;Piso
800;piso;39;0;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;20.51;Piso
1700;piso;65;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;26.15;Piso
2000;piso;50;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;40.0;Piso
1700;piso;60;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;28.33;Piso
1740;piso;96;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;18.12;Piso
1600;piso;41;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;39.02;Piso
850;piso;25;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;34.0;Piso
2095;piso;65;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;32.23;Piso
1100;piso;37;0;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;29.73;Piso
1850;ático;70;2;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;26.43;Piso
1700;piso;57;2;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;29.82;Piso
3500;piso;130;3;3;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;26.92;Piso
1420;piso;43;2;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;33.02;Piso
1650;estudio;40;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;41.25;Piso
1200;piso;39;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;30.77;Piso
1390;piso;52;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;26.73;Piso
1300;piso;65;2;1;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital, Madrid;20.0;Piso
1390;piso;52;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;26.73;Piso
1235;piso;50;2;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;24.7;Piso
3800;piso;124;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;30.65;Piso
3500;piso;161;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;21.74;Piso
2800;piso;159;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;17.61;Piso
1500;piso;65;2;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;23.08;Piso
1800;piso;55;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;32.73;Piso
1300;estudio;37;0;1;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital, Madrid;35.14;Piso
2200;piso;70;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;31.43;Piso
1500;piso;65;0;1;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;23.08;Piso
2850;piso;80;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital, Madrid;35.62;Piso
1000;piso;41;0;1;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital, Madrid;24.39;Piso
