localización;precio;Ascensor;EXT-INT;m2;habitaciones;baños;estado;armarios_empotrados;aire_acondicionado;distrito;municipio;vivienda;precio_m2;tipo_vivienda;Planta_num;distrito_encoded;estado_encoded;EXT-INT_encoded;Ascensor_encoded;municipio_encoded;vivienda_encoded;tipo_vivienda_encoded
Sol;1690000;;;145;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;11655.17;Piso;;8;0;2;2;27;6;0
Palacio;895000; Si;Exterior;106;2;;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Ático;8443.4;Piso;4.0;8;0;0;1;27;7;0
Palacio;1495000; Si;Exterior;164;3;3;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital;Piso;9115.85;Piso;2.0;8;0;0;1;27;6;0
Lavapiés-Embajadores;723000; No;Exterior;123;5;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;5878.05;Piso;2.0;8;0;0;0;27;6;0
Chueca-Justicia;2450000; Si;Exterior;166;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;14759.04;Piso;2.0;8;0;0;1;27;6;0
Sol;750000; Si;Exterior;114;2;2;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital;Piso;6578.95;Piso;2.0;8;0;0;1;27;6;0
Sol;2350000; Si;Exterior;218;4;4;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital;Piso;10779.82;Piso;5.0;8;0;0;1;27;6;0
Malasaña-Universidad;1300000; No;Interior;102;3;3;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital;Piso;12745.1;Piso;1.0;8;0;1;0;27;6;0
Lavapiés-Embajadores;350000; Si;Exterior;56;2;;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital;Piso;6250.0;Piso;2.0;8;0;0;1;27;6;0
Centro;1595000; Si;Exterior;188;3;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;8484.04;Piso;2.0;8;0;0;1;27;6;0
Chueca-Justicia;549000; Si;Exterior;63;;;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;8714.29;Piso;2.0;8;0;0;1;27;6;0
Malasaña-Universidad;220000;;;38;;;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital;Estudio;5789.47;Piso;;8;0;2;2;27;4;0
Centro;6200000; Si;Exterior;311;4;4;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Ático;19935.69;Piso;5.0;8;0;0;1;27;7;0
Centro;1395000; Si;Exterior;128;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;10898.44;Piso;4.0;8;0;0;1;27;6;0
Centro;2950000; Si;Exterior;265;4;4;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;11132.08;Piso;3.0;8;0;0;1;27;6;0
Malasaña-Universidad;1060000; Si;Exterior;129;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;8217.05;Piso;1.0;8;0;0;1;27;6;0
Malasaña-Universidad;349000;;;45;2;;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital;Piso;7755.56;Piso;;8;0;2;2;27;6;0
Centro;1295000; Si;Exterior;170;2;2;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital;Dúplex;7617.65;Piso;4.0;8;0;0;1;27;3;0
Chueca-Justicia;1490000; Si;Exterior;127;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;11732.28;Piso;1.0;8;0;0;1;27;6;0
Centro;3390000; Si;Exterior;438;4;3;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital;Piso;7739.73;Piso;2.0;8;0;0;1;27;6;0
Centro;1650000; Si;Exterior;202;3;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;8168.32;Piso;2.0;8;0;0;1;27;6;0
Centro;415000; Si;Exterior;57;;;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Estudio;7280.7;Piso;2.0;8;0;0;1;27;4;0
Malasaña-Universidad;1395000; Si;Exterior;128;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;10898.44;Piso;4.0;8;0;0;1;27;6;0
Malasaña-Universidad;1592000; No;Exterior;207;7;2;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital;Piso;7690.82;Piso;2.0;8;0;0;0;27;6;0
Malasaña-Universidad;1150000; Si;Exterior;137;3;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;8394.16;Piso;3.0;8;0;0;1;27;6;0
Malasaña-Universidad;995000; Si;Exterior;129;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;7713.18;Piso;3.0;8;0;0;1;27;6;0
Palacio;790000; Si;Interior;69;2;;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;11449.28;Piso;2.0;8;0;1;1;27;6;0
Sol;2395000; Si;Exterior;171;3;2;Segunda mano/para reformar;False;True;Distrito Centro;Madrid capital;Piso;14005.85;Piso;4.0;8;1;0;1;27;6;0
Chueca-Justicia;1555000; Si;Exterior;220;5;2;Segunda mano/buen estado;True;False;Distrito Centro;Madrid capital;Piso;7068.18;Piso;1.0;8;0;0;1;27;6;0
Chueca-Justicia;560000; No;Exterior;63;2;2;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital;Piso;8888.89;Piso;4.0;8;0;0;0;27;6;0
Malasaña-Universidad;1500000; Si;Exterior;211;4;2;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital;Piso;7109.0;Piso;3.0;8;0;0;1;27;6;0
Centro;1650000; Si;Exterior;210;3;2;Segunda mano/para reformar;True;True;Distrito Centro;Madrid capital;Piso;7857.14;Piso;2.0;8;1;0;1;27;6;0
Malasaña-Universidad;475000; No;Interior;81;2;2;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital;Piso;5864.2;Piso;0.0;8;0;1;0;27;6;0
Sol;1690000; Si;Exterior;145;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Dúplex;11655.17;Piso;5.0;8;0;0;1;27;3;0
Huertas-Cortes;2200000; Si;Exterior;120;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;18333.33;Piso;6.0;8;0;0;1;27;6;0
Lavapiés-Embajadores;949000; Si;Exterior;226;8;3;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital;Piso;4199.12;Piso;;8;0;0;1;27;6;0
Sol;980000; Si;Exterior;147;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;6666.67;Piso;3.0;8;0;0;1;27;6;0
Palacio;1249000; Si;Exterior;146;3;3;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital;Piso;8554.79;Piso;5.0;8;0;0;1;27;6;0
Centro;2675000; Si;Exterior;250;3;3;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;10700.0;Piso;1.0;8;0;0;1;27;6;0
Malasaña-Universidad;875000; Si;Exterior;107;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;8177.57;Piso;4.0;8;0;0;1;27;6;0
Centro;895000; Si;Exterior;106;2;;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital;Piso;8443.4;Piso;4.0;8;0;0;1;27;6;0
Chueca-Justicia;600000; Si;Interior;41;;;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;14634.15;Piso;2.0;8;0;1;1;27;6;0
Sol;970000; Si;Exterior;142;3;;Segunda mano/para reformar;False;False;Distrito Centro;Madrid capital;Piso;6830.99;Piso;5.0;8;1;0;1;27;6;0
Malasaña-Universidad;1500000; Si;Exterior;150;2;3;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;10000.0;Piso;3.0;8;0;0;1;27;6;0
Malasaña-Universidad;329000; No;Interior;65;3;;Segunda mano/buen estado;False;False;Distrito Centro;Madrid capital;Piso;5061.54;Piso;2.0;8;0;1;0;27;6;0
Malasaña-Universidad;1950000; Si;Exterior;124;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;15725.81;Piso;3.0;8;0;0;1;27;6;0
Malasaña-Universidad;790000; Si;Exterior;96;3;2;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital;Piso;8229.17;Piso;;8;0;0;1;27;6;0
Sol;1119000;;;139;3;3;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital;Piso;8050.36;Piso;;8;0;2;2;27;6;0
Malasaña-Universidad;720000; Si;Exterior;98;3;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;7346.94;Piso;1.0;8;0;0;1;27;6;0
Lavapiés-Embajadores;895000; Si;Exterior;117;3;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;7649.57;Piso;5.0;8;0;0;1;27;6;0
Huertas-Cortes;1589000; Si;Exterior;129;3;3;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;12317.83;Piso;3.0;8;0;0;1;27;6;0
Centro;660000; Si;Exterior;102;2;;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Ático;6470.59;Piso;4.0;8;0;0;1;27;7;0
Malasaña-Universidad;1190000; Si;Exterior;139;2;3;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;8561.15;Piso;1.0;8;0;0;1;27;6;0
Malasaña-Universidad;680000; Si;Interior;78;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;8717.95;Piso;1.0;8;0;1;1;27;6;0
Lavapiés-Embajadores;739000; Si;Exterior;134;4;3;Segunda mano/para reformar;True;True;Distrito Centro;Madrid capital;Piso;5514.93;Piso;2.0;8;1;0;1;27;6;0
Huertas-Cortes;525000; Si;Exterior;119;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;4411.76;Piso;1.0;8;0;0;1;27;6;0
Palacio;1495000; Si;Exterior;164;3;3;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;9115.85;Piso;2.0;8;0;0;1;27;6;0
Chueca-Justicia;1800000; Si;Exterior;168;3;2;Segunda mano/buen estado;False;True;Distrito Centro;Madrid capital;Dúplex;10714.29;Piso;4.0;8;0;0;1;27;3;0
Malasaña-Universidad;749000;;;80;2;2;Segunda mano/buen estado;True;True;Distrito Centro;Madrid capital;Piso;9362.5;Piso;;8;0;2;2;27;6;0
